index	question	sentence	label
2704	what happened to the meteor?	breaking apart	not_entailment
2705	what happened to the meteor?	it broke apart	entailment
2706	what song was adele singing on the call?	hello	entailment
2707	what song was adele singing on the call?	aacps	not_entailment
2708	what happened to the tiger trainer?	died after mauling	not_entailment
2709	what happened to the tiger trainer?	mauled	entailment
2710	where was the most poignant memory?	the Ryder Cup	entailment
2711	where was the most poignant memory?	the most poignant memory	not_entailment
2712	who is ada fung's best friend?	Dangerously Ben	entailment
2713	who is ada fung's best friend?	@ parksandrec	not_entailment
2714	what did the pope say?	please pray for me	entailment
2715	what did the pope say?	boehner	not_entailment
2716	what color is the empire state building turning according to the quote?	crimson red	entailment
2717	what color is the empire state building turning according to the quote?		not_entailment
2718	did edward snowden say the claims of him and russian intel were true or false?	false	entailment
2719	did edward snowden say the claims of him and russian intel were true or false?	we ' re in cahoots with russian intel	not_entailment
2720	what twitter accounts are credited for the pic?	Ashy Skates	not_entailment
2721	what twitter accounts are credited for the pic?	@ ashykats @ criseyde	entailment
2722	where are lidner and bono?	Berlin	entailment
2723	where are lidner and bono?	# lidner and bono	not_entailment
2724	whose teeth have seen better days?	Logan Couture's	not_entailment
2725	whose teeth have seen better days?	logan couture	entailment
2726	what has the girl always believed in?	herself and her worth	entailment
2727	what has the girl always believed in?	today	not_entailment
2728	who is the ioc president meeting with?	South Korean President	entailment
2729	who is the ioc president meeting with?	ioc president with south korean president	not_entailment
2730	who did travonte valentine run into?	a longtime NFL scout	entailment
2731	who did travonte valentine run into?	he was an nfl scout	not_entailment
2732	what needs to come out to make me cry and laugh	album	entailment
2733	what needs to come out to make me cry and laugh	elax	not_entailment
2734	what is his sons major at yale?	chem	entailment
2735	what is his sons major at yale?	charles	not_entailment
2736	how does the outfit make beyonce look?	the tastiest she's looked in years	not_entailment
2737	how does the outfit make beyonce look?	the tastyest she ' s seen	entailment
2738	where would lebron play against college kids?	his camp	entailment
2739	where would lebron play against college kids?	he will play at his camp	not_entailment
2740	what does the person tweeting feel about h&m clothing?	Even in their ads	not_entailment
2741	what does the person tweeting feel about h&m clothing?	he is tweeting about h & m	entailment
2742	what religion is lisa sillaway?	Methodist	entailment
2743	what religion is lisa sillaway?	i will ' t lose my methodist card	not_entailment
2744	what is the mother's name?	Toya Graham's	entailment
2745	what is the mother's name?	toya graham ' s	not_entailment
2746	whose healthcare bill is not discussed?	The Republicans	entailment
2747	whose healthcare bill is not discussed?	the dems	not_entailment
2748	according to the tweet, who had a meeting with steve harvey?	Donald Trump	entailment
2749	according to the tweet, who had a meeting with steve harvey?	i don ' t want to hear	not_entailment
2750	what  does jennifer before putting out the drug	her cigarette and smiles	entailment
2751	what  does jennifer before putting out the drug	jennifer aniston	not_entailment
2752	what does trump say about hate?	must be united and condemn	not_entailment
2753	what does trump say about hate?	we must condemn all that hate	entailment
2754	how did the man die?	he couldn't breath	entailment
2755	how did the man die?	he couldn ' t breathe	not_entailment
2756	what holiday will you eat your words during dinner in 2015?	Xmas	not_entailment
2757	what holiday will you eat your words during dinner in 2015?	2015	entailment
2758	who wrote the story in the ny times?	Lynne Ryan	entailment
2759	who wrote the story in the ny times?	donald trump	not_entailment
2760	who's inauguration outfit is referenced?	Kellyanne Conway's	not_entailment
2761	who's inauguration outfit is referenced?	kellyanne conway	entailment
2762	who wrote the poem?	Mary Oliver's	not_entailment
2763	who wrote the poem?	mary oliver	entailment
2764	whose talent will help his team win?	Benzama's	not_entailment
2765	whose talent will help his team win?	benzama	entailment
2766	what's the name of the man that resigned from presidents manufacturing council?	Ken Frazier	entailment
2767	what's the name of the man that resigned from presidents manufacturing council?	merck pharma	not_entailment
2768	what did they do with the little they were given to work with?	a beautiful job	entailment
2769	what did they do with the little they were given to work with?	thank you both	not_entailment
2770	what sound was being reported?	explosion	entailment
2771	what sound was being reported?	this sound was being reported	not_entailment
2772	where was the weekend spent by pacers?	LA	entailment
2773	where was the weekend spent by pacers?	clippers	not_entailment
2774	what season should you prepare for?	a 4th	entailment
2775	what season should you prepare for?	4th season	not_entailment
2776	what does she say after that?	El fantasma del 50 ya está en Brasil " , un spot publicitario	entailment
2777	what does she say after that?	un spot publicitario	not_entailment
2778	what might the president be getting enough of?	sleep	entailment
2779	what might the president be getting enough of?	@ nancy pelosi	not_entailment
2780	what commercial has us feeling feelings?	netflix	entailment
2781	what commercial has us feeling feelings?	# emmys	not_entailment
2782	what did bradlee retire as?	editor	entailment
2783	what did bradlee retire as?	mrs . graham	not_entailment
2784	who's getting married in this sky wedding?	sacwoo and  dottiecoven	entailment
2785	who's getting married in this sky wedding?	congratulate @ sacwoo & 2dcoven	not_entailment
2786	how do you get a personalized pass?	Send your name	entailment
2787	how do you get a personalized pass?	# orion ' s first flight	not_entailment
2788	who should be brought back out?	Missy Elliott	entailment
2789	who should be brought back out?	i gotta go .	not_entailment
2790	what couple splitting up would make life not worth living anymore?	Beyoncé and Jay z	not_entailment
2791	what couple splitting up would make life not worth living anymore?	beyonce and jay z	entailment
2792	who does the user hope doesn't pull out of the hosting gig?	Chris Rock	entailment
2793	who does the user hope doesn't pull out of the hosting gig?	it ' s so important that he ' s on the mic that nite	not_entailment
2794	what did @jamzminesky feel about girl on the train?	made me want a drink	entailment
2795	what did @jamzminesky feel about girl on the train?	2016	not_entailment
2796	how many players gave up eligibility?	103	entailment
2797	how many players gave up eligibility?	deshaun watson	not_entailment
2798	what happens if she gets the united states-belgium game right?	living in the Matrix	entailment
2799	what happens if she gets the united states-belgium game right?	@ meuni	not_entailment
2800	what was her morning swim?	the 400 freestyle	entailment
2801	what was her morning swim?	can ' t wait to race tonight	not_entailment
2802	whose goal was it to give him the hat trick?	Rick Nash's	entailment
2803	whose goal was it to give him the hat trick?	@ msg networks	not_entailment
2804	what team just got their 1st big 12 win?	Oklahoma State	entailment
2805	what team just got their 1st big 12 win?	texas tech 83 - 64	not_entailment
2806	where was omran daqneesh pulled from?	under the ruins	entailment
2807	where was omran daqneesh pulled from?	# khartoon	not_entailment
2808	who did eric ask for their blessing?	Rachel's mom	entailment
2809	who did eric ask for their blessing?	rachel ' s mom	not_entailment
2810	who is david ginola running against?	oust Blatter	not_entailment
2811	who is david ginola running against?	blatter	entailment
2812	who scored a touchdown	Rachel Lil Tyrone	entailment
2813	who scored a touchdown	atta boy	not_entailment
2814	what position did the people seem to hold?	the new Ministers	entailment
2815	what position did the people seem to hold?	ministers	not_entailment
2816	what sport is being shown?	prank  — Pittsburgh Penguins	not_entailment
2817	what sport is being shown?	hockey	entailment
2818	who told him to job on?	big bloke	entailment
2819	who told him to job on?	some big bloke	not_entailment
2820	what type of accident is michele spillane questioning?	wasnt there a fiery explosion upon impact	not_entailment
2821	what type of accident is michele spillane questioning?	plane	entailment
2822	who did donald trump thank?	the LGBT community	entailment
2823	who did donald trump thank?	thank you to the lgbt community	not_entailment
2824	what is the tweeter's description of maya angelou?	such a talent	entailment
2825	what is the tweeter's description of maya angelou?		not_entailment
2826	what challenge happened recently?	Challenge over ! Orange team has reactivated the power and sent the power turning ! # rtncyberf 2 f Cyber Sec Challenge UK	entailment
2827	what challenge happened recently?	cyberchallenge	not_entailment
2828	who won the defensive mvp?	Trey Hendrickson	entailment
2829	who won the defensive mvp?	1 / 21 / 2017	not_entailment
2830	what country is he from?	an American	not_entailment
2831	what country is he from?	i ' m from america	entailment
2832	what 1944 film did  angela lansbury star?	Gaslight	entailment
2833	what 1944 film did  angela lansbury star?		not_entailment
2834	what does not mean @gigihadid agrees with everything being said and the music playing there?	My attendance	entailment
2835	what does not mean @gigihadid agrees with everything being said and the music playing there?	my friends know of your loyalty	not_entailment
2836	what type of zone is someone in if you don't return their feelings?	friend zone	not_entailment
2837	what type of zone is someone in if you don't return their feelings?	friend	entailment
2838	who is with prince william and harry in this picture?	THEIR FATHER	entailment
2839	who is with prince william and harry in this picture?	prince william and harry	not_entailment
2840	who does lavern cox think is valuable	trans Americans	entailment
2841	who does lavern cox think is valuable	trans	not_entailment
2842	what are they doing on partington canyon?	diving	entailment
2843	what are they doing on partington canyon?	we ' re diving	not_entailment
2844	what does tcu go from three last week to?	Sean Abbott	not_entailment
2845	what does tcu go from three last week to?	tcu went from 6 to 6	entailment
2846	what is the homework for?	Wales Rally	entailment
2847	what is the homework for?	rally homework	not_entailment
2848	where was was fugitive treasure hunter arrested?	West Boca	entailment
2849	where was was fugitive treasure hunter arrested?	u . s marshals	not_entailment
2850	how much does earth curve block?	150 ( not 170 ) ft of Manhattan	not_entailment
2851	how much does earth curve block?	170 ft of manhattan	entailment
2852	what type of terrorist act sounds simple?	a wireless navigated terrorists act	not_entailment
2853	what type of terrorist act sounds simple?	wireless navigated terrorist act	entailment
2854	what is the name of the anti-slavery movement?	End It Movement	not_entailment
2855	what is the name of the anti-slavery movement?	# enditmovement	entailment
2856	which airport was mentioned in the tweet?	London City Airport	entailment
2857	which airport was mentioned in the tweet?	blmuk	not_entailment
2858	what does less water mean?	less farm work	entailment
2859	what does less water mean?	# endangeredriver	not_entailment
2860	why does cousins push noah?	pushes handsy	not_entailment
2861	why does cousins push noah?	he pushes handsy joakim noah	entailment
2862	what will live on?	legacy is his music	entailment
2863	what will live on?	his legacy	not_entailment
2864	what has ariana grande's courage and dignity given jessica taylor?	Endless respect	entailment
2865	what has ariana grande's courage and dignity given jessica taylor?	# onelove manchester	not_entailment
2866	when did the team win?	in overtime	entailment
2867	when did the team win?	gif of the night	not_entailment
2868	what did whitey bulger's lawyers disclose about him?	photos	entailment
2869	what did whitey bulger's lawyers disclose about him?	# whitey bulger	not_entailment
2870	how many arrests were made?	2	not_entailment
2871	how many arrests were made?	2 arrests	entailment
2872	where did the people sleep?	pavement	entailment
2873	where did the people sleep?	the people slept on pavement	not_entailment
2874	when should more snow be expected?	tomorrow morning	entailment
2875	when should more snow be expected?	2 - 3 inches	not_entailment
2876	why was he inspired by the speech?	I really do feel that we are all 1  A human race	not_entailment
2877	why was he inspired by the speech?	because i really feel that we are all one	entailment
2878	who is being thanked in the tweet?	Kenny G	entailment
2879	who is being thanked in the tweet?	thank kenny g	not_entailment
2880	why do you mock them?	for their ignorance	entailment
2881	why do you mock them?	don ' t threaten memories pizza	not_entailment
2882	what party is bill haslam affiliated with?	GOP	entailment
2883	what party is bill haslam affiliated with?	the rga	not_entailment
2884	what sport is the tweeter talking about?	shooting	not_entailment
2885	what sport is the tweeter talking about?	basketball	entailment
2886	what legislation do pence's constituents care about?	RFRA	not_entailment
2887	what legislation do pence's constituents care about?	w passage of rfra	entailment
2888	what is pat sajak known for?	the Wheel of Fortune	entailment
2889	what is pat sajak known for?	it isn ' t just one person ' s misfortune	not_entailment
2890	what event are the displays from?	Restart LHC splash	not_entailment
2891	what event are the displays from?	# restartlhc	entailment
2892	what is the rumor about angela lansbury?	SHE BETTER NOT BE DEAD	entailment
2893	what is the rumor about angela lansbury?	trending	not_entailment
2894	who set the bar and raised it?	Trevor Noah	entailment
2895	who set the bar and raised it?		not_entailment
2896	what group is snl being criticized for mocking?	Isis	entailment
2897	what group is snl being criticized for mocking?	there is no group deserving of ridicule	not_entailment
2898	who is the best looking attendee at the debate?	Favorite guy at the nick kroll	not_entailment
2899	who is the best looking attendee at the debate?	favorite guy at the nick	entailment
2900	what did the slb president promise him?	1 last trip around the stadium	entailment
2901	what did the slb president promise him?	one last trip	not_entailment
2902	what olympic charter's #p6 support?	in equality	entailment
2903	what olympic charter's #p6 support?	# robbierogers	not_entailment
2904	washington state hired who to coach the d-line?	Jeff Phelps	entailment
2905	washington state hired who to coach the d-line?	washington state	not_entailment
2906	where are travelers stranded?	I 24 in KY	entailment
2907	where are travelers stranded?	i - 24	not_entailment
2908	what time was this tweeted?	November 15 , 2017	not_entailment
2909	what time was this tweeted?	7 : 37 pm	entailment
2910	what samantha think the person who ran the kfc account needed?	a raise	entailment
2911	what samantha think the person who ran the kfc account needed?	i don ' t care	not_entailment
2912	how would trump have done better if the winner had been based on a popular vote?	would campaign differently	entailment
2913	how would trump have done better if the winner had been based on a popular vote?	donald trump	not_entailment
2914	who just passed away recently?	Patty Duke	entailment
2915	who just passed away recently?	patty duke passed away	not_entailment
2916	why does donald trump think he'd defeat obama in an election?	jobs leaving	entailment
2917	why does donald trump think he'd defeat obama in an election?		not_entailment
2918	where is @sighsh2y looking in the house?	al around my room	entailment
2919	where is @sighsh2y looking in the house?	# zaynmalik ' s room	not_entailment
2920	what is bobbi kristina watching?	Casino	entailment
2921	what is bobbi kristina watching?		not_entailment
2922	what show does she want to watch?	the # Late Late Show	entailment
2923	what show does she want to watch?	jk corden	not_entailment
2924	we have to discover a way to do what?	come together	entailment
2925	we have to discover a way to do what?	j forsett	not_entailment
2926	what would the movie about ann coulter be called?	Snake on a Plane	entailment
2927	what would the movie about ann coulter be called?	it ' s called snake on a plane	not_entailment
2928	what does she post?	a message	entailment
2929	what does she post?	i ' m speaking from my heart	not_entailment
2930	he did what before they go to auschwitz?	died	entailment
2931	he did what before they go to auschwitz?	princess bmm	not_entailment
2932	is this person asking a question?	why her him	entailment
2933	is this person asking a question?	who is your bestie	not_entailment
2934	who has tim reynolds not seen?	Le Bron brain trust here  Have not seen Le Bron OR any member of Heat organization	entailment
2935	who has tim reynolds not seen?	lebron	not_entailment
2936	what two items collided?	set pieces	entailment
2937	what two items collided?	i ' m fine	not_entailment
2938	why did lucic say he did something?	I do n’t know why	entailment
2939	why did lucic say he did something?	ansar khan	not_entailment
2940	what type of week has it been?	a cold , hard	entailment
2941	what type of week has it been?	it ' s cold	not_entailment
2942	what did victoria justice tweet about?	pics of me	not_entailment
2943	what did victoria justice tweet about?	pics	entailment
2944	what action could ebola doctors stand for?	be quarantined	entailment
2945	what action could ebola doctors stand for?	quarantined	not_entailment
2946	what is soso praising?	debates , " Listen , I'm gon na need you to answer the question	entailment
2947	what is soso praising?		not_entailment
2948	who has hardly been involved in any scandal?	Ramsey Nouah	entailment
2949	who has hardly been involved in any scandal?	@ cnni @ ramsey nouahh	not_entailment
2950	what does ronke lawal think entrepreneur should do?	aim high and think big	entailment
2951	what does ronke lawal think entrepreneur should do?	cnnafrica	not_entailment
2952	who did they want to make #chiraq the equivalent of "do the right thing"?	Spike	entailment
2953	who did they want to make #chiraq the equivalent of "do the right thing"?		not_entailment
2954	what does joss whedon believe is happening?	the world is on fire	entailment
2955	what does joss whedon believe is happening?	lol	not_entailment
2956	why is the traffic not moving?	HEAVY snow	entailment
2957	why is the traffic not moving?	btw & cartersville	not_entailment
2958	first you trick people into thinking youre a rapper, now you trick them into thinking youre jewish?	you trick them into thinking you're Jewish ? Seth Rogen	entailment
2959	first you trick people into thinking youre a rapper, now you trick them into thinking youre jewish?	@ macklemore	not_entailment
2960	how many overtimes were there?	SEVEN	entailment
2961	how many overtimes were there?	it ' s over	not_entailment
2962	what are they requesting to be watched?	climate change	not_entailment
2963	what are they requesting to be watched?	sunken cities	entailment
2964	where did jada smith pray?	mosques	not_entailment
2965	where did jada smith pray?	in mosques	entailment
2966	what did james woolsey once run?	the  CIA	entailment
2967	what did james woolsey once run?	cnn	not_entailment
2968	what should he be doing?	back by now	not_entailment
2969	what should he be doing?	back	entailment
2970	where is pulse nightclub located	Orlando's	not_entailment
2971	where is pulse nightclub located	orlando ' s pulse	entailment
2972	who did utley return to?	dodgers	entailment
2973	who did utley return to?	obvs pluses	not_entailment
2974	where did this police and protest encounter happen?	clash at Pike and Boren	entailment
2975	where did this police and protest encounter happen?	4 : 10 pm	not_entailment
2976	where last night did daniel handler have racist "humor"?	the NBAs	not_entailment
2977	where last night did daniel handler have racist "humor"?	at the nbas	entailment
2978	what did boubacar barry win?	AFCON ' 15	entailment
2979	what did boubacar barry win?	afcon	not_entailment
2980	where will you love the view?	Pennsylvania Avenue	entailment
2981	where will you love the view?	@ white house	not_entailment
2982	what type of team are celebrating a good sail?	the benfits	not_entailment
2983	what type of team are celebrating a good sail?	team	entailment
2984	who was making jokes about jews?	Larry David	entailment
2985	who was making jokes about jews?	snl	not_entailment
2986	how should a4 tell their story?	best and as clearly as possible	not_entailment
2987	how should a4 tell their story?	best & as clearly as possible	entailment
2988	who is being beseeched to show her the way?	God	entailment
2989	who is being beseeched to show her the way?	# yeezy	not_entailment
2990	who does jessica love?	lennyletter	not_entailment
2991	who does jessica love?	@ lennyletter # freekesha	entailment
2992	what is your souvenir?	Royals poster	entailment
2993	what is your souvenir?	this is the royals poster	not_entailment
2994	where are the crowds gathering against terrorism?	Paris	entailment
2995	where are the crowds gathering against terrorism?	je suis	not_entailment
2996	who is bobbi kristina missing?	mommy	entailment
2997	who is bobbi kristina missing?	littlelady and nick gordon	not_entailment
2998	what did some random kid say to lowe's son?	wow , you have 2 dads	entailment
2999	what did some random kid say to lowe's son?		not_entailment
3000	what holiday is coming up soon?	MLK day	not_entailment
3001	what holiday is coming up soon?	# mlkday2017	entailment
3002	how many oscar nominations does boss baby have?	1	entailment
3003	how many oscar nominations does boss baby have?	lebowski , groundhog day , and the shining	not_entailment
3004	who is mia congratulating?	Abby Wambach	entailment
3005	who is mia congratulating?	2015	not_entailment
3006	what other action is degrading?	Hitting on married women ? Condoning assault	entailment
3007	what other action is degrading?	condoning	not_entailment
3008	if told to go, the u. s. east coast should decide?	where you 'd go	entailment
3009	if told to go, the u. s. east coast should decide?	there	not_entailment
3010	when did jeff sneider walk out of swiss army man?	40 minute mark	entailment
3011	when did jeff sneider walk out of swiss army man?		not_entailment
3012	where are the protestors located?	Phoenix	not_entailment
3013	where are the protestors located?	outside	entailment
3014	what do they want us to join them for?	Rocky Mountain Time	entailment
3015	what do they want us to join them for?		not_entailment
3016	what could cuba eventually resemble?	the Mexican League	entailment
3017	what could cuba eventually resemble?	cuba	not_entailment
3018	who is playing with bey and bruno?	Chris Martin	entailment
3019	who is playing with bey and bruno?	chantel jennings	not_entailment
3020	who are agents gregg and bennett supporting in #capforstrap?	a  Marvel fan's cancer fight	entailment
3021	who are agents gregg and bennett supporting in #capforstrap?	@ clarkgregg	not_entailment
3022	what team lost 3 in a row?	Penguins	not_entailment
3023	what team lost 3 in a row?	pittsburgh penguins	entailment
3024	who does she ultimately want to see out?	Trump	entailment
3025	who does she ultimately want to see out?	bannon	not_entailment
3026	what does tia claim s he was doing?	slouching a lil * Straightens up	entailment
3027	what does tia claim s he was doing?	slouching a lil ' straightens	not_entailment
3028	what day is it?	National Snake Day	entailment
3029	what day is it?	i mean everybody	not_entailment
3030	how old is the story that the president is talking about?	a 16 year old	entailment
3031	how old is the story that the president is talking about?	dishonest	not_entailment
3032	where are police looking for dealers?	Vaughan	entailment
3033	where are police looking for dealers?	keele langstaff mr . lube	not_entailment
3034	what are your breakfast this morning?	musician , writer Tom Petty	not_entailment
3035	what are your breakfast this morning?	i have breakfast	entailment
3036	what should dev patel do?	get it	entailment
3037	what should dev patel do?	i think dev patel should get it	not_entailment
3038	how did the police officer die?	in the line of duty	entailment
3039	how did the police officer die?	the police officer died	not_entailment
3040	who is in the x files	Mulder	entailment
3041	who is in the x files	xf revival	not_entailment
3042	who was the representative for green peace uk?	Charlie	entailment
3043	who was the representative for green peace uk?	netley	not_entailment
3044	what did beyonce not say?	Sir and Rumi Carter	entailment
3045	what did beyonce not say?		not_entailment
3046	who else did not bully jonathan martin?	Richie Incognito or any member of the Dolphins Offensive line	entailment
3047	who else did not bully jonathan martin?	@ tom pelissero	not_entailment
3048	what prevents the bill from passing?	Senate w o major changes	entailment
3049	what prevents the bill from passing?	get it right , don ' t get it fast	not_entailment
3050	what did he want to modify	the sentence	entailment
3051	what did he want to modify	2015	not_entailment
3052	what sounds easy enough	getting back to the top	entailment
3053	what sounds easy enough	@ bartoli _ marion	not_entailment
3054	why have children and families been hurt?	the USA # tornadoes	entailment
3055	why have children and families been hurt?	dona the children	not_entailment
3056	who was sara hussein with?	a pregnant woman , her husband , brother	entailment
3057	who was sara hussein with?	booms	not_entailment
3058	what type of media does this feel like?	blog post	entailment
3059	what type of media does this feel like?	blog	not_entailment
3060	where is eric headed?	Ottawa	entailment
3061	where is eric headed?	omw	not_entailment
3062	where was lebron spotted?	Vegas	not_entailment
3063	where was lebron spotted?	first lebron spotted in vegas	entailment
3064	what singer does mosey idolize?	Louis_Tomlinson	not_entailment
3065	what singer does mosey idolize?	louis tomlinson	entailment
3066	who showed solange her sales?	Jay Z	entailment
3067	who showed solange her sales?	trav pope	not_entailment
3068	what items are shown in the photo	View of Terror : This is where the girls were sitting before being attacked with acid by a # Palestinian terrorist	not_entailment
3069	what items are shown in the photo	backpacks	entailment
3070	who wants to release the crashvideo?	Usher	entailment
3071	who wants to release the crashvideo?	@ vevo	not_entailment
3072	a salute to anybody who made a song to just what?	feed their family or just vent	entailment
3073	a salute to anybody who made a song to just what?	i ' m new to this	not_entailment
3074	what is it time to do according to this tweet?	turn the tides	not_entailment
3075	what is it time to do according to this tweet?	it ' s time to turn the tides	entailment
3076	where is water not flowing in aleppo?	the western part of the city	entailment
3077	where is water not flowing in aleppo?	aleppo	not_entailment
3078	what is letting out and causing traffic?	a christian function	entailment
3079	what is letting out and causing traffic?	# ruperts fault	not_entailment
3080	who did sarah say is no the sexiest man alive?	David Beckham	entailment
3081	who did sarah say is no the sexiest man alive?	10	not_entailment
3082	what athlete was featured in the advertisement?	Luis Suarez	entailment
3083	what athlete was featured in the advertisement?	adidas ad campaign	not_entailment
3084	where did the man intentionally skipped out on baby future's birth go?	to do a show	entailment
3085	where did the man intentionally skipped out on baby future's birth go?	ciara	not_entailment
3086	where are these people fishing?	endangeredriver	not_entailment
3087	where are these people fishing?	on a river	entailment
3088	who did josh mcown meet with?	the Jets	entailment
3089	who did josh mcown meet with?	nothing ' s imminent	not_entailment
3090	what will you be doing when you check out the timelapse?	sipping your morning coffee	entailment
3091	what will you be doing when you check out the timelapse?	i will be doing the verification	not_entailment
3092	when was she found dead?	Monday afternoon	entailment
3093	when was she found dead?	jordan hankins	not_entailment
3094	what class did miss nebraska skip?	etiquette	not_entailment
3095	what class did miss nebraska skip?	etiquette class	entailment
3096	who does blm hate?	Trump	entailment
3097	who does blm hate?		not_entailment
3098	why are they investigating?	the Flint water crisis	not_entailment
3099	why are they investigating?	they are investigating	entailment
3100	who is trump being accused of having affairs with?	married women	entailment
3101	who is trump being accused of having affairs with?	@ sasse	not_entailment
3102	how warm is it in orlando	the warm air	not_entailment
3103	how warm is it in orlando	84	entailment
3104	what was the decision that was made?	to keep Ferguson PD	entailment
3105	what was the decision that was made?	decision to keep ferguson pd	not_entailment
3106	hillary says congratulations for becoming a u.s. what?	citizen	entailment
3107	hillary says congratulations for becoming a u.s. what?	hillary clinton	not_entailment
3108	why does clinton need to change tires and give free oil changes at sparky's?	To make herself appear more approachable	entailment
3109	why does clinton need to change tires and give free oil changes at sparky's?	to make herself more approachable	not_entailment
3110	who is supposed to sing the reading log?	mom	entailment
3111	who is supposed to sing the reading log?	edchat	not_entailment
3112	where are the agents from?	Portland	entailment
3113	where are the agents from?	atf hq	not_entailment
3114	who has jumped the shark?	Game Of Thrones	entailment
3115	who has jumped the shark?	ed sheeran	not_entailment
3116	what does stacy dash want?	check	entailment
3117	what does stacy dash want?	# remember	not_entailment
3118	what did the weasel ride on?	woodpecker's back	entailment
3119	what did the weasel ride on?	woodpecker ' s back	not_entailment
3120	how old is bill conner?	83	entailment
3121	how old is bill conner?	bill conner	not_entailment
3122	what is typhoon neoguri getting closer to?	Japan	entailment
3123	what is typhoon neoguri getting closer to?	typhoon neoguri is nearing japan	not_entailment
3124	where is the law taking place?	in America	entailment
3125	where is the law taking place?	we shouldn ' t discriminate against ppl bc	not_entailment
3126	where was andrei karlov's funeral?	airport	not_entailment
3127	where was andrei karlov's funeral?	at the airport	entailment
3128	who is kevin a fan of?	Mets	entailment
3129	who is kevin a fan of?	j deezal	not_entailment
3130	who is using a terrible witch hunt for evil politics?	The Dems	entailment
3131	who is using a terrible witch hunt for evil politics?	the r ' s	not_entailment
3132	who is on live with lee?	Rand Paul	entailment
3133	who is on live with lee?	10 : 35 pm	not_entailment
3134	why did fee mcbee like the interpretation?	faithful and respectful to the source material	entailment
3135	why did fee mcbee like the interpretation?	@ hankcosnow	not_entailment
3136	what does the rabbi think will trigger the coming of the messiah?	Blood Moons	entailment
3137	what does the rabbi think will trigger the coming of the messiah?	rabbi warns blood moons	not_entailment
3138	who does the ariel pray for?	his wife , kara	entailment
3139	who does the ariel pray for?	kara	not_entailment
3140	what was flushed down the toilet?	A The patients bodily fluids	entailment
3141	what was flushed down the toilet?	contaminate	not_entailment
3142	what new tradition got started?	player of the game ” helmet	entailment
3143	what new tradition got started?	setoguchi	not_entailment
3144	how does jill hennessy feel?	punched in the gut	entailment
3145	how does jill hennessy feel?	deftly drawn	not_entailment
3146	what happened to jonathan crombie?	He 'll always be Gilbert Blythe	not_entailment
3147	what happened to jonathan crombie?	he died	entailment
3148	who was ashish thakkar with?	rediamondjr	not_entailment
3149	who was ashish thakkar with?	rediamond jr	entailment
3150	how does emma sledd feel about dressing like other people?	dress like them	not_entailment
3151	how does emma sledd feel about dressing like other people?	she thinks they can dress like us	entailment
3152	what country is britney in an interview for?	the Israeli	not_entailment
3153	what country is britney in an interview for?	israel	entailment
3154	where is mariah carey taking her kids?	the Kids ' Choice Awards	entailment
3155	where is mariah carey taking her kids?		not_entailment
3156	what two things does she have?	Maturity , grace and	entailment
3157	what two things does she have?	maturity and oh boy	not_entailment
3158	what did representative al green do after his speech?	plays racist calls	entailment
3159	what did representative al green do after his speech?	impeachment	not_entailment
3160	what are they concerned about of the tsa?	Fees	entailment
3161	what are they concerned about of the tsa?	how much	not_entailment
3162	what did the residents do?	coordinated blood bank donations	entailment
3163	what did the residents do?	eliott c . mclaughlin	not_entailment
3164	what show is being cancelled?	 — Mariah Carey	entailment
3165	what show is being cancelled?	mariah carey	not_entailment
3166	what did ray moore win?	Republican Primary	entailment
3167	what did ray moore win?	roy	not_entailment
3168	what did @potus do?	led and served our country	entailment
3169	what did @potus do?	@ potus	not_entailment
3170	why does leslie jones love the olympics?	all countries come together to compete	entailment
3171	why does leslie jones love the olympics?	because of the olympics	not_entailment
3172	what did peter see this morning?	his wounds were catastrophic	entailment
3173	what did peter see this morning?	from what he saw	not_entailment
3174	which game is jim weber commenting about?	Minnesota in the bowl game	entailment
3175	which game is jim weber commenting about?	7 : 37 pm	not_entailment
3176	how can you help stop the threats in the comment section?	reporting them	entailment
3177	how can you help stop the threats in the comment section?	# psa	not_entailment
3178	what channel is on the picture?	at the Marc Jacobs fashion show	not_entailment
3179	what channel is on the picture?	cw	entailment
3180	what does jennifer c. martin wish for?	The Sound Of Music Live	entailment
3181	what does jennifer c. martin wish for?		not_entailment
3182	why was steve sure he missed something last night?	Went to sleep early	entailment
3183	why was steve sure he missed something last night?	the oscars	not_entailment
3184	what is the color of the balloons in the image posted?	LOOK : PNP Chief Dela Rosa attends surprise bday party for SILG Mike Sueno  His bday gift : Meco Tan	not_entailment
3185	what is the color of the balloons in the image posted?	blue	entailment
3186	what was the student doing when he was accosted?	leaving the library	entailment
3187	what was the student doing when he was accosted?	he ' s fuming	not_entailment
3188	who does jonah goldberg think is evil	ISIS	entailment
3189	who does jonah goldberg think is evil	they ' re evil	not_entailment
3190	what does lena dunham bring up?	entertainment	entailment
3191	what does lena dunham bring up?	tmz	not_entailment
3192	what did colbert do to the troll king?	he made fun of	entailment
3193	what did colbert do to the troll king?	2017	not_entailment
3194	who stole the candy from marcel hirscher?	Neureuther	not_entailment
3195	who stole the candy from marcel hirscher?	neureuther stole the candy from marcel hirscher	entailment
3196	who was tweeting about the hats	Pharrell's Hat	not_entailment
3197	who was tweeting about the hats	pharrell	entailment
3198	@luisfigo is described as serious &?	educated	entailment
